time,y,vy,ay
1.959999999999993692e-02,1.012044045085333521e-01,-1.088215735577412746e-01,-3.884415933732724646e+00
1.969999999999993631e-02,1.011935029973800165e-01,-1.092086495088387121e-01,-3.870759510974434825e+00
1.979999999999993571e-02,1.011825628466913318e-01,-1.095943642649622740e-01,-3.857147561235567679e+00
1.989999999999993510e-02,1.011715841923651049e-01,-1.099787222596426695e-01,-3.843579946803917569e+00
1.999999999999993450e-02,1.011605671698564968e-01,-1.103617279125046063e-01,-3.830056528619352196e+00
2.009999999999993389e-02,1.011495119141793964e-01,-1.107433856294391533e-01,-3.816577169345405807e+00
2.019999999999993329e-02,1.011384185599077945e-01,-1.111236998025854489e-01,-3.803141731462951203e+00
2.029999999999993268e-02,1.011272872411771440e-01,-1.115026748103935400e-01,-3.789750078080904139e+00
2.039999999999993208e-02,1.011161180916857333e-01,-1.118803150176840566e-01,-3.776402072905186813e+00
2.049999999999993147e-02,1.011049112446960607e-01,-1.122566247756955210e-01,-3.763097580114580509e+00
2.059999999999993087e-02,1.010936668330361665e-01,-1.126316084221427316e-01,-3.749836464472072084e+00
2.069999999999993026e-02,1.010823849891009929e-01,-1.130052702812198440e-01,-3.736618590771128900e+00
2.079999999999992966e-02,1.010710658448537580e-01,-1.133776146635323695e-01,-3.723443823125238694e+00
2.089999999999992905e-02,1.010597095318272604e-01,-1.137486458662829297e-01,-3.710312027505656918e+00
2.099999999999992845e-02,1.010483161811252806e-01,-1.141183681733533850e-01,-3.697223070704529491e+00
2.109999999999992784e-02,1.010368859234238442e-01,-1.144867858553111489e-01,-3.684176819577680284e+00
2.119999999999992724e-02,1.010254188889726096e-01,-1.148539031694327528e-01,-3.671173141216065972e+00
2.129999999999992663e-02,1.010139152075961444e-01,-1.152197243597409410e-01,-3.658211903081912020e+00
2.139999999999992603e-02,1.010023750086904842e-01,-1.155842537535133746e-01,-3.645293937724304545e+00
2.149999999999992542e-02,1.009907984212206900e-01,-1.159474956423167114e-01,-3.632418888033342785e+00
2.159999999999992482e-02,1.009791855737293270e-01,-1.163094541849498953e-01,-3.619585426331887401e+00
2.169999999999992421e-02,1.009675365943428077e-01,-1.166701335453253496e-01,-3.606793603754583799e+00
2.179999999999992361e-02,1.009558516113336912e-01,-1.170295266371169512e-01,-3.593930917915986178e+00
2.189999999999992300e-02,1.009441307527154108e-01,-1.173876457285123603e-01,-3.581190913954099386e+00
2.199999999999992240e-02,1.009323741456526202e-01,-1.177444955272178850e-01,-3.568497987055212928e+00
2.209999999999992179e-02,1.009205819168719209e-01,-1.181000800868505229e-01,-3.555845596326374203e+00
2.219999999999992119e-02,1.009087541926941278e-01,-1.184544034689821446e-01,-3.543233821316285059e+00
2.229999999999992058e-02,1.008968910990327705e-01,-1.188074697581059658e-01,-3.530662891238279588e+00
2.239999999999991998e-02,1.008849927613927888e-01,-1.191592830415503790e-01,-3.518132834444178236e+00
2.249999999999991937e-02,1.008730593048719065e-01,-1.195098473760638491e-01,-3.505643345134631605e+00
2.259999999999991876e-02,1.008610908541603679e-01,-1.198591668546121897e-01,-3.493194785483403120e+00
2.269999999999991816e-02,1.008490875335402298e-01,-1.202072455481428964e-01,-3.480786935307054186e+00
2.279999999999991755e-02,1.008370494668873185e-01,-1.205540875102012049e-01,-3.468419620583018226e+00
