time,y,vy,ay
1.269999999999997867e-02,1.018550527067003386e-01,-7.861433587092986341e-02,-4.840934083293670476e+00
1.279999999999997806e-02,1.018471670580954058e-01,-7.909863622775922809e-02,-4.843003568293656080e+00
1.289999999999997746e-02,1.018392329862105178e-01,-7.958280146992528781e-02,-4.841652421660630701e+00
1.299999999999997685e-02,1.018312505190901579e-01,-8.006654093717259502e-02,-4.837394672473100066e+00
1.309999999999997625e-02,1.018232197108487891e-01,-8.054962389016287472e-02,-4.830829529902862518e+00
1.319999999999997564e-02,1.018151406361980094e-01,-8.103186912532057973e-02,-4.822452351577091179e+00
1.329999999999997504e-02,1.018070133862475218e-01,-8.151312988430650663e-02,-4.812607589859319468e+00
1.339999999999997443e-02,1.017988380656301012e-01,-8.199328246407604215e-02,-4.801525797695354925e+00
1.349999999999997383e-02,1.017906147904684561e-01,-8.247222076876939423e-02,-4.789383046933497035e+00
1.359999999999997322e-02,1.017823436866737707e-01,-8.294985512488385615e-02,-4.776343561144557270e+00
1.369999999999997262e-02,1.017740248882917919e-01,-8.342611251477445589e-02,-4.762573898905954728e+00
1.379999999999997201e-02,1.017656585358599486e-01,-8.390093612206482587e-02,-4.748236072903640803e+00
1.389999999999997141e-02,1.017572447748798931e-01,-8.437428347890985059e-02,-4.733473568450230040e+00
1.399999999999997080e-02,1.017487837545255902e-01,-8.484612360707233236e-02,-4.718401281624821308e+00
1.409999999999997020e-02,1.017402756266461844e-01,-8.531643398098015529e-02,-4.703103739078181356e+00
1.419999999999996959e-02,1.017317205450469220e-01,-8.578519800426258335e-02,-4.687640232824231923e+00
1.429999999999996899e-02,1.017231186649820845e-01,-8.625240329257725935e-02,-4.672052883146765367e+00
1.439999999999996838e-02,1.017144701427831754e-01,-8.671804068559285650e-02,-4.656373930155948138e+00
1.449999999999996778e-02,1.017057751355629480e-01,-8.718210371893247990e-02,-4.640630333396203788e+00
1.459999999999996717e-02,1.016970338009628716e-01,-8.764458828257452871e-02,-4.624845636420499950e+00
1.469999999999996657e-02,1.016882462969340567e-01,-8.810549229377993841e-02,-4.609040112054113791e+00
1.479999999999996596e-02,1.016794127815527776e-01,-8.856481533170791620e-02,-4.593230379279845010e+00
1.489999999999996536e-02,1.016705334128731458e-01,-8.902255826084742862e-02,-4.577429291395123556e+00
1.499999999999996475e-02,1.016616083488153799e-01,-8.947872289457584061e-02,-4.561646337284136266e+00
1.509999999999996415e-02,1.016526377470839126e-01,-8.993331173465277106e-02,-4.545888400769290350e+00
1.519999999999996354e-02,1.016436217651075224e-01,-9.038632779304385523e-02,-4.530160583910825878e+00
1.529999999999996294e-02,1.016345605599939111e-01,-9.083777447922866677e-02,-4.514466861848133838e+00
1.539999999999996233e-02,1.016254542884938439e-01,-9.128765552199409605e-02,-4.498810427654269972e+00
1.549999999999996173e-02,1.016163031069749895e-01,-9.173597485517280548e-02,-4.483193331787087565e+00
1.559999999999996112e-02,1.016071071713982310e-01,-9.218273667987474107e-02,-4.467618247019299993e+00
1.569999999999996051e-02,1.015978666372944067e-01,-9.262794539653280979e-02,-4.452087166580717792e+00
1.579999999999995991e-02,1.015885816597474345e-01,-9.307160554279861331e-02,-4.436601462658091855e+00
1.589999999999995930e-02,1.015792523933827102e-01,-9.351372175161215550e-02,-4.421162088135459634e+00
1.599999999999995870e-02,1.015698789923590167e-01,-9.395429872238426905e-02,-4.405769707721157502e+00
1.609999999999995809e-02,1.015604616103628344e-01,-9.439334120139303286e-02,-4.390424790087680051e+00
1.619999999999995749e-02,1.015510004006043299e-01,-9.483085396859199101e-02,-4.375127671989525346e+00
1.629999999999995688e-02,1.015414955158144839e-01,-9.526684182835135073e-02,-4.359878597593629834e+00
1.639999999999995628e-02,1.015319471082429537e-01,-9.570130960219497274e-02,-4.344677738436186765e+00
1.649999999999995567e-02,1.015223553296567133e-01,-9.613426212269080007e-02,-4.329525204958272866e+00
1.659999999999995507e-02,1.015127203313391652e-01,-9.656570422835011880e-02,-4.314421056593171322e+00
1.669999999999995446e-02,1.015030422640898072e-01,-9.699564075892846970e-02,-4.299365305783478419e+00
1.679999999999995386e-02,1.014933212782242744e-01,-9.742407655164453395e-02,-4.284357927160645119e+00
1.689999999999995325e-02,1.014835575235747828e-01,-9.785101643830386442e-02,-4.269398866593321351e+00
1.699999999999995265e-02,1.014737511494907124e-01,-9.827646524320192423e-02,-4.254488048980639370e+00
1.709999999999995204e-02,1.014639023048394678e-01,-9.870042778160972863e-02,-4.239625384077999826e+00
1.719999999999995144e-02,1.014540111380074494e-01,-9.912290885864420698e-02,-4.224810770344769040e+00
1.729999999999995083e-02,1.014440777969010943e-01,-9.954391326837580545e-02,-4.210044097316042233e+00
1.739999999999995023e-02,1.014341024289480142e-01,-9.996344579309023037e-02,-4.195325247144314318e+00
1.749999999999994962e-02,1.014240851810982308e-01,-1.003815112026718998e-01,-4.180654095816729310e+00
1.759999999999994902e-02,1.014140261998253967e-01,-1.007981142541017894e-01,-4.166030514298866727e+00
1.769999999999994841e-02,1.014039256311281417e-01,-1.012132596910660653e-01,-4.151454369642753939e+00
1.779999999999994781e-02,1.013937836205314053e-01,-1.016269522436650252e-01,-4.136925525989663122e+00
1.789999999999994720e-02,1.013836003130878100e-01,-1.020391966282033630e-01,-4.122443845383418015e+00
1.799999999999994660e-02,1.013733758533790497e-01,-1.024499975470428703e-01,-4.108009188395010725e+00
1.809999999999994599e-02,1.013631103855172771e-01,-1.028593596884975203e-01,-4.093621414546558590e+00
